trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,polygon.started,polygon.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,text_4.started,text_4.stopped,stim_interval,correct_resp,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,vivid_report,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_7.started,text_7.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,7.4324735419941135,None,42.6908190830145,None,41.723191750003025,None,43.69097045797389,None,,,,,,,,,,,,,,,,,,,,,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
0,0,0,0,,,,,,,,,,,,,45.79026233300101,None,,,,,,,,,,,,,,,,,,,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
1,0,1,0,,,,,,,50.824291124998126,None,49.82377874996746,None,51.82404433301417,None,,,,,,,,,,,,,,,,,,,,,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
1,0,1,0,,,,,,,,,,,,,53.2749981249799,None,,,,,,,,,,,,,,,,,,,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
2,0,2,0,,,,,,,57.29086029197788,None,56.290747291990556,None,58.291175916965585,None,,,,,,,,,,,,,,,,,,,,,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
2,0,2,0,,,,,,,,,,,,,59.94120787497377,None,,,,,,,,,,,,,,,,,,,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
,,,,0,0,0,0,7.4324735419941135,,73.24210845801281,None,,,,,,,61.974550375016406,None,0.47500000000000003,1,72.76118375000078,None,1,2.689609290973749,74.24188879196299,None,74.24188879196299,None,,,,,,,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1.195068373985123,76.95781070797238,None,76.95781070797238,None,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
,,,,1,0,1,0,7.4324735419941135,,79.50857241696212,None,,,,,,,,,0.32500000000000007,2,79.17476029199315,None,2,0.6653791660210118,80.5082345000119,None,80.5082345000119,None,,,,,,,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,2,0.6836467499961145,81.19184487499297,None,81.19184487499297,None,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
,,,,2,0,2,0,7.4324735419941135,,83.30939287500223,None,,,,,,,,,0.4,1,82.90886537497863,None,2,0.8622487910324708,84.30943933298113,None,84.30943933298113,None,,,,,,,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,2,2.1067683330038562,85.19189791701501,None,85.19189791701501,None,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
,,,,3,0,3,0,7.4324735419941135,,88.75887116696686,None,,,,,,,,,0.42500000000000004,1,88.34082662500441,None,1,0.7864011249621399,89.75917995796772,None,89.75917995796772,None,,,,,,,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,2,1.8325743330060504,90.57500895799603,None,90.57500895799603,None,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
,,,,4,0,4,0,7.4324735419941135,,93.57582512497902,None,,,,,,,,,0.15,2,93.42564287496498,None,1,2.6924976659938693,94.57547254196834,None,94.57547254196834,None,,,,,,,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,2,3.139609165955335,97.29206558299484,None,97.29206558299484,None,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
,,,,5,0,5,0,7.4324735419941135,,101.74297220801236,None,,,,,,,,,0.275,1,101.47427345800679,None,1,1.2862768329796381,102.74253975000465,None,102.74253975000465,None,,,,,,,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,1,0.6940081670181826,104.05886787496274,None,104.05886787496274,None,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
,,,,6,0,6,0,7.4324735419941135,,106.05950429197401,None,,,,,,,,,0.275,2,105.77754808298778,None,2,2.214992333028931,107.0590706669609,None,107.0590706669609,None,,,,,,,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,2,0.5267994989990257,109.29252675001044,None,109.29252675001044,None,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
,,,,7,0,7,0,7.4324735419941135,,110.89259445801144,None,,,,,,,,,0.05,1,110.84229237498948,None,1,4.182020083011594,111.89252158300951,None,111.89252158300951,None,,,,,,,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,1,0.12373925000429153,116.09283829201013,None,116.09283829201013,None,,,c,001,2022_Jun_06_1754,test_exp,2021.2.3,59.710850202761435,
