trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,polygon.started,polygon.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,text_4.started,text_4.stopped,stim_interval,correct_resp,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,vivid_report,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_7.started,text_7.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,8.159392417001072,None,44.896217833971605,None,43.918053166999016,None,45.89610820898088,None,,,,,,,,,,,,,,,,,,,,,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
0,0,0,0,,,,,,,,,,,,,48.51276433398016,None,,,,,,,,,,,,,,,,,,,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
1,0,1,0,,,,,,,55.51342187501723,None,54.51261329196859,None,56.51338370901067,None,,,,,,,,,,,,,,,,,,,,,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
1,0,1,0,,,,,,,,,,,,,57.61392591701588,None,,,,,,,,,,,,,,,,,,,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
2,0,2,0,,,,,,,63.16398233396467,None,62.1633192920126,None,64.1635526670143,None,,,,,,,,,,,,,,,,,,,,,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
2,0,2,0,,,,,,,,,,,,,64.746522041969,None,,,,,,,,,,,,,,,,,,,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,0,0,0,0,8.159392417001072,,79.53117758396547,None,,,,,,,68.43050816701725,None,0.025,1,79.49990420899121,None,1,2.8992597910109907,80.53125058399746,None,80.53125058399746,None,,,,,,,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,3,3.379478167043999,83.44734116701875,None,83.44734116701875,None,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,1,0,1,0,8.159392417001072,,88.28111112501938,None,,,,,,,,,0.42500000000000004,2,87.8481065420201,None,1,3.0356874159770086,89.28086895897286,None,89.28086895897286,None,,,,,,,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,3,1.8117601669509895,92.34719487500843,None,92.34719487500843,None,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,2,0,2,0,8.159392417001072,,95.31451258400921,None,,,,,,,,,0.125,2,95.18214612500742,None,1,1.114609999989625,96.31507516698912,None,96.31507516698912,None,,,,,,,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,3,1.2279324579867534,97.44801829196513,None,97.44801829196513,None,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,3,0,3,0,8.159392417001072,,99.79860758397263,None,,,,,,,,,0.1,2,99.69860512501327,None,1,0.6423879989888519,100.79855108400807,None,100.79855108400807,None,,,,,,,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,2,2.270955124986358,101.46472808398539,None,101.46472808398539,None,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,4,0,4,0,8.159392417001072,,104.79917770897737,None,,,,,,,,,0.025,2,104.76467883400619,None,1,3.237857666972559,105.79825341701508,None,105.79825341701508,None,,,,,,,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,1,3.7567453749943525,109.06431137496838,None,109.06431137496838,None,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
