trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,polygon.started,polygon.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,text_4.started,text_4.stopped,stim_interval,correct_resp,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,vivid_report,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_7.started,text_7.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,15.840487250010483,None,69.00320012500742,None,68.03081483300775,None,70.00339687505038,None,,,,,,,,,,,,,,,,,,,,,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
0,0,0,0,,,,,,,,,,,,,70.87027166702319,None,,,,,,,,,,,,,,,,,,,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
1,0,1,0,,,,,,,75.55312862503342,None,74.53921070805518,None,76.55316391703673,None,,,,,,,,,,,,,,,,,,,,,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
1,0,1,0,,,,,,,,,,,,,76.81956316705327,None,,,,,,,,,,,,,,,,,,,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
2,0,2,0,,,,,,,79.78699516702909,None,78.77194791700458,None,80.78689612500602,None,,,,,,,,,,,,,,,,,,,,,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
2,0,2,0,,,,,,,,,,,,,81.30348020803649,None,,,,,,,,,,,,,,,,,,,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,0,0,0,0,15.840487250010483,,90.07041908300016,None,,,,,,,81.85348695801804,None,0.32500000000000007,1,89.74122258304851,None,1,1.2192564999568276,91.07023379200837,None,91.07023379200837,None,,,,,,,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,4,1.5343980829929933,92.3210704580415,None,92.3210704580415,None,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,1,0,1,0,15.840487250010483,,95.27052045799792,None,,,,,,,,,0.37500000000000006,2,94.88888375001261,None,2,1.63495574897388,96.27048304199707,None,96.27048304199707,None,,,,,,,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0.9676111660082825,97.93696937500499,None,97.93696937500499,None,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,2,0,2,0,15.840487250010483,,100.35411845805356,None,,,,,,,,,0.42500000000000004,2,99.92304708302254,None,2,2.1844552910188213,101.35394179204013,None,101.35394179204013,None,,,,,,,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,3,1.432731540990062,103.5708327080356,None,103.5708327080356,None,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,3,0,3,0,15.840487250010483,,106.08806104201358,None,,,,,,,,,0.05,2,106.02265475003514,None,1,3.8112669569673017,107.08723533304874,None,107.08723533304874,None,,,,,,,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,1,0.37123249896103516,110.92033887503203,None,110.92033887503203,None,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,4,0,4,0,15.840487250010483,,112.70433025003877,None,,,,,,,,,0.37500000000000006,2,112.32243595801992,None,2,0.7642872500000522,113.70409162499709,None,113.70409162499709,None,,,,,,,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,4,2.4793131240294315,114.48809179203818,None,114.48809179203818,None,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,5,0,5,0,15.840487250010483,,118.15455370803829,None,,,,,,,,,0.15,2,117.98904654203216,None,1,1.7198650410282426,119.15443658304866,None,119.15443658304866,None,,,,,,,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
