trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,polygon.started,polygon.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,stim_interval,correct_resp,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,19.548006375029217,None,128.17505779099884,None,127.2086465000175,None,129.1754213750246,None,,,,,,,,,,,,,,,j,001,2022_Jun_02_1535,test_exp,2021.2.3,60.13146230093964,
1,0,1,0,,,,,,,135.9921389160445,None,134.99385029100813,None,136.9917082080501,None,,,,,,,,,,,,,,,j,001,2022_Jun_02_1535,test_exp,2021.2.3,60.13146230093964,
2,0,2,0,,,,,,,149.60878366604447,None,148.6088514160365,None,150.60945583303692,None,,,,,,,,,,,,,,,j,001,2022_Jun_02_1535,test_exp,2021.2.3,60.13146230093964,
,,,,0,0,0,0,19.548006375029217,,156.6593530829996,None,,,,,151.9091966660344,None,0.05,2,156.59435141604627,None,1,6.82153808302246,157.65905862505315,None,157.65905862505315,None,,,j,001,2022_Jun_02_1535,test_exp,2021.2.3,60.13146230093964,
,,,,1,0,1,0,19.548006375029217,,165.75951345800422,None,,,,,,,0.25,2,165.50957229104824,None,2,0.4875332490191795,166.7591651660041,None,166.7591651660041,None,,,j,001,2022_Jun_02_1535,test_exp,2021.2.3,60.13146230093964,
,,,,2,0,2,0,19.548006375029217,,168.70941137504997,None,,,,,,,0.42500000000000004,1,168.27739254100015,None,1,1.0031802079756744,169.70951266604243,None,169.70951266604243,None,,,j,001,2022_Jun_02_1535,test_exp,2021.2.3,60.13146230093964,
,,,,3,0,3,0,19.548006375029217,,171.9762500410434,None,,,,,,,0.225,1,171.7430934580043,None,1,0.6215061659459025,172.97606983303558,None,172.97606983303558,None,,,j,001,2022_Jun_02_1535,test_exp,2021.2.3,60.13146230093964,
,,,,4,0,4,0,19.548006375029217,,174.9597585410229,None,,,,,,,0.32500000000000007,1,174.62591770803556,None,1,0.32339870801661164,175.95933791605057,None,175.95933791605057,None,,,j,001,2022_Jun_02_1535,test_exp,2021.2.3,60.13146230093964,
,,,,5,0,5,0,19.548006375029217,,177.41019979101839,None,,,,,,,0.1,1,177.30954466602998,None,2,0.399504708009772,178.41012029105332,None,178.41012029105332,None,,,j,001,2022_Jun_02_1535,test_exp,2021.2.3,60.13146230093964,
,,,,6,0,6,0,19.548006375029217,,180.32692920800764,None,,,,,,,0.47500000000000003,2,179.84269350004615,None,1,0.6279634579550475,181.326198499999,None,181.326198499999,None,,,j,001,2022_Jun_02_1535,test_exp,2021.2.3,60.13146230093964,
,,,,7,0,7,0,19.548006375029217,,183.1096473330399,None,,,,,,,0.125,2,182.97653970803367,None,2,0.9157066250336356,184.11006516602356,None,184.11006516602356,None,,,j,001,2022_Jun_02_1535,test_exp,2021.2.3,60.13146230093964,
,,,,8,0,8,0,19.548006375029217,,186.49329675000627,None,,,,,,,0.45000000000000007,1,186.04356550000375,None,1,0.6257243750151247,187.49349362502107,None,187.49349362502107,None,,,j,001,2022_Jun_02_1535,test_exp,2021.2.3,60.13146230093964,
,,,,9,0,9,0,19.548006375029217,,189.42682441603392,None,,,,,,,0.275,2,189.1428598750499,None,2,0.8903631669818424,190.4265515000443,None,190.4265515000443,None,,,j,001,2022_Jun_02_1535,test_exp,2021.2.3,60.13146230093964,
,,,,10,0,10,0,19.548006375029217,,192.64371133304667,None,,,,,,,0.30000000000000004,2,192.34341716603376,None,None,,193.6435063329991,None,193.6435063329991,None,,,j,001,2022_Jun_02_1535,test_exp,2021.2.3,60.13146230093964,
,,,,11,0,11,0,19.548006375029217,,195.94393770804163,None,,,,,,,0.47500000000000003,2,195.46062000002712,None,1,2.6356607080087997,196.94390487502096,None,196.94390487502096,None,,,j,001,2022_Jun_02_1535,test_exp,2021.2.3,60.13146230093964,
