trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,polygon.started,polygon.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,stim_interval,correct_resp,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,7.158429500006605,None,11.588314874999924,None,10.60975045899977,None,12.588394708989654,None,,,,,,,,,,,,,,,s,001,2022_May_31_1832,test_exp,2021.2.3,60.03189194083244,
1,0,1,0,,,,,,,15.188747042004252,None,14.188508791994536,None,16.18844270898262,None,,,,,,,,,,,,,,,s,001,2022_May_31_1832,test_exp,2021.2.3,60.03189194083244,
2,0,2,0,,,,,,,18.505611375003355,None,17.50522004198865,None,19.50563716699253,None,,,,,,,,,,,,,,,s,001,2022_May_31_1832,test_exp,2021.2.3,60.03189194083244,
,,,,0,0,0,0,7.158429500006605,,22.10515416698763,None,,,,,19.92211695900187,None,0.4,1,21.691428874997655,None,1,0.26605958299478516,23.10504291698453,None,23.10504291698453,None,,,s,001,2022_May_31_1832,test_exp,2021.2.3,60.03189194083244,
,,,,1,0,1,0,7.158429500006605,,24.47209137500613,None,,,,,,,0.07500000000000001,3,24.38847608398646,None,3,0.4405275419994723,25.472368874994572,None,25.472368874994572,None,,,s,001,2022_May_31_1832,test_exp,2021.2.3,60.03189194083244,
,,,,2,0,2,0,7.158429500006605,,27.322206459008157,None,,,,,,,0.37500000000000006,1,26.938422375009395,None,1,0.20843212498584762,28.321864124998683,None,28.321864124998683,None,,,s,001,2022_May_31_1832,test_exp,2021.2.3,60.03189194083244,
,,,,3,0,3,0,7.158429500006605,,29.90536395899835,None,,,,,,,0.35000000000000003,1,29.55544441699749,None,1,0.24453020899090916,30.905833875003736,None,30.905833875003736,None,,,s,001,2022_May_31_1832,test_exp,2021.2.3,60.03189194083244,
,,,,4,0,4,0,7.158429500006605,,32.30508112499956,None,,,,,,,0.125,3,32.17300662500202,None,3,1.0333349160209764,33.30575479200343,None,33.30575479200343,None,,,s,001,2022_May_31_1832,test_exp,2021.2.3,60.03189194083244,
,,,,5,0,5,0,7.158429500006605,,35.38862675000564,None,,,,,,,0.025,3,35.35583275000681,None,3,0.678741457988508,36.38955116699799,None,36.38955116699799,None,,,s,001,2022_May_31_1832,test_exp,2021.2.3,60.03189194083244,
,,,,6,0,6,0,7.158429500006605,,38.305230833997484,None,,,,,,,0.2,3,38.090716667007655,None,3,1.0544081670232117,39.30572345899418,None,39.30572345899418,None,,,s,001,2022_May_31_1832,test_exp,2021.2.3,60.03189194083244,
