trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,polygon.started,polygon.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,stim_interval,correct_resp,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,7.607951875019353,None,71.07163162500365,None,70.10407541703898,None,72.07101137505379,None,,,,,,,,,,,,,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
1,0,1,0,,,,,,,75.77171679202002,None,74.77117087499937,None,76.7714079170255,None,,,,,,,,,,,,,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
2,0,2,0,,,,,,,80.98842750000767,None,79.98818679200485,None,81.9882292090333,None,,,,,,,,,,,,,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,0,0,0,0,7.607951875019353,,90.55577537504723,None,,,,,83.28818708402105,None,0.25,1,90.30699562502559,None,2,0.06006487499689683,91.55501745903166,None,91.55501745903166,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,1,0,1,0,7.607951875019353,,92.78896783402888,None,,,,,,,0.15,1,92.63890175003326,None,1,3.3833894159761257,93.78849929204443,None,93.78849929204443,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,2,0,2,0,7.607951875019353,,98.63929645903409,None,,,,,,,0.45000000000000007,1,98.18896641704487,None,1,0.011930915992707014,99.63913729204796,None,99.63913729204796,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,3,0,3,0,7.607951875019353,,101.05565650004428,None,,,,,,,0.37500000000000006,1,100.67174345901003,None,2,3.043302332982421,102.0550037920475,None,102.0550037920475,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,4,0,4,0,7.607951875019353,,106.3229145000223,None,,,,,,,0.2,2,106.12259900005301,None,2,1.200467332964763,107.32248970901128,None,107.32248970901128,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,5,0,5,0,7.607951875019353,,109.93936937500257,None,,,,,,,0.4,1,109.5391773750307,None,2,1.300498916010838,110.93947208405007,None,110.93947208405007,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,6,0,6,0,7.607951875019353,,113.52302570902975,None,,,,,,,0.25,2,113.27276750002056,None,2,1.0010070420103148,114.52304883400211,None,114.52304883400211,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,7,0,7,0,7.607951875019353,,116.73968104203232,None,,,,,,,0.17500000000000002,2,116.55601045902586,None,1,0.14898420800454915,117.73910175001947,None,117.73910175001947,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,8,0,8,0,7.607951875019353,,119.25655108405044,None,,,,,,,0.35000000000000003,2,118.90642262500478,None,2,0.7641181660001166,120.25697750004474,None,120.25697750004474,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,9,0,9,0,7.607951875019353,,122.23994633404072,None,,,,,,,0.2,1,122.0395033340319,None,1,2.13469462498324,123.24019587505609,None,123.24019587505609,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,10,0,10,0,7.607951875019353,,126.79029737500241,None,,,,,,,0.37500000000000006,2,126.40681920904899,None,2,0.6631704999599606,127.7898805840523,None,127.7898805840523,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,11,0,11,0,7.607951875019353,,129.97359541704645,None,,,,,,,0.5,2,129.47329900000477,None,1,1.2718128749984317,130.9731549170101,None,130.9731549170101,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,12,0,12,0,7.607951875019353,,133.65678200003458,None,,,,,,,0.37500000000000006,2,133.27313775004586,None,2,0.6663255830062553,134.6567102500121,None,134.6567102500121,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,13,0,13,0,7.607951875019353,,136.69044616702013,None,,,,,,,0.35000000000000003,2,136.34121850004885,None,1,1.317164333013352,137.68991920904955,None,137.68991920904955,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,14,0,14,0,7.607951875019353,,140.4071060840506,None,,,,,,,0.37500000000000006,1,140.02350216702325,None,2,0.09157891699578613,141.40764550003223,None,141.40764550003223,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,15,0,15,0,7.607951875019353,,142.60689579200698,None,,,,,,,0.07500000000000001,1,142.52323054202134,None,2,3.8676487499615178,143.60692495905096,None,143.60692495905096,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
